,Confidence_interval_deviance_score,one_sided_deviance_score,marginal_deviance_score,correlation_score,methods,elaspsed_time
150,0.009658585858585865,0.8125252525252524,0.04938475665748393,2.7923334906559306e-05,ADVI-full-rank,37.10948467254639
151,0.010765656565656565,0.7709090909090909,0.04982042648709316,2.7923334906559306e-05,Hybrid,122.99435210227966
152,0.013642424242424251,0.7773737373737379,0.053990409141924295,9.637017136358252e-07,NUTS,505.44055819511414
153,0.006430303030303029,1.1349494949494958,0.05135292317110499,9.637017136358252e-07,ADVI-Mean-Field,29.964872121810913
154,0.011246464646464652,0.7096969696969696,0.053238445056626865,9.637017136358252e-07,ADVI-full-rank,37.48159074783325
155,0.009214141414141421,0.6355555555555555,0.05345576981940618,9.637017136358252e-07,Hybrid,84.6961407661438
156,0.01315353535353536,0.8298989898989899,0.05026936026936028,0.00021972288767297,NUTS,640.789963722229
157,0.008640404040404039,0.873737373737374,0.05123762881338639,0.00021972288767297,ADVI-Mean-Field,29.94135069847107
158,0.013062626262626262,0.7587878787878789,0.05167533925109684,0.00021972288767297,ADVI-full-rank,37.32694625854492
159,0.010315151515151522,0.6551515151515149,0.052313029282726256,0.00021972288767297,Hybrid,101.23489546775818
160,0.012250505050505059,0.6844444444444451,0.0513090500969289,1.871505599490217e-06,NUTS,728.7010669708252
161,0.014143434343434338,1.6341414141414141,0.06038363432302824,1.871505599490217e-06,ADVI-Mean-Field,29.95754313468933
162,0.009476767676767672,0.6345454545454544,0.059249056218753184,1.871505599490217e-06,ADVI-full-rank,37.63993287086487
163,0.009854545454545451,0.6199999999999998,0.062106927864503614,1.871505599490217e-06,Hybrid,98.72627806663513
164,0.014474747474747474,0.8076767676767674,0.050414243444546473,3.90354282058689e-06,NUTS,1623.3406853675842
165,0.011098989898989898,0.9317171717171712,0.052139577594123056,3.90354282058689e-06,ADVI-Mean-Field,30.01831078529358
166,0.012121212121212133,0.7664646464646468,0.04969186817671667,3.90354282058689e-06,ADVI-full-rank,37.29375624656677
167,0.012551515151515154,0.7177777777777777,0.05026221814100602,3.90354282058689e-06,Hybrid,112.49634838104248
168,0.016060606060606074,0.900606060606061,0.059817365574941335,7.606620894023609e-08,NUTS,966.3775110244751
169,0.01011919191919191,0.6248484848484841,0.06404142434445464,7.606620894023609e-08,ADVI-Mean-Field,29.75260305404663
170,0.0058000000000000005,0.5199999999999999,0.061192735435159684,7.606620894023609e-08,ADVI-full-rank,37.23274207115173
171,0.009438383838383838,0.6117171717171711,0.06654320987654319,7.606620894023609e-08,Hybrid,88.64494776725769
172,0.01428080808080809,0.8834343434343435,0.05004081216202429,4.158372367039897e-05,NUTS,759.9549396038055
173,0.0072343434343434335,0.9656565656565665,0.05153045607591061,4.158372367039897e-05,ADVI-Mean-Field,30.089819192886353
174,0.012812121212121224,0.9218181818181816,0.05109070503009898,4.158372367039897e-05,ADVI-full-rank,36.545817852020264
175,0.012929292929292933,0.8220202020202017,0.05153045607591063,4.158372367039897e-05,Hybrid,103.75615429878235
176,0.013171717171717182,0.7555555555555556,0.05868074686256505,2.1152951711030427e-07,NUTS,883.9848384857178
177,0.014282828282828276,0.7125252525252519,0.06385572900724415,2.1152951711030427e-07,ADVI-Mean-Field,30.23826026916504
178,0.008139393939393936,0.55030303030303,0.06218651158045097,2.1152951711030427e-07,ADVI-full-rank,37.72734880447388
179,0.009307070707070703,0.5705050505050501,0.06372308948066524,2.1152951711030427e-07,Hybrid,94.50145149230957
180,0.014262626262626261,0.8113131313131319,0.04867768595041323,0.0010932200687542653,NUTS,258.339998960495
181,0.011028282828282828,0.6783838383838384,0.04795837159473523,0.0010932200687542653,ADVI-Mean-Field,30.012116193771362
182,0.014214141414141424,0.7983838383838383,0.048284868890929505,0.0010932200687542653,ADVI-full-rank,37.44008493423462
183,0.016175757575757576,0.9137373737373741,0.0491796755433119,0.0010932200687542653,Hybrid,99.58870220184326
184,0.012220202020202029,0.7040404040404039,0.05597388021630445,2.3473463947738473e-07,NUTS,673.9532670974731
185,0.006555555555555548,0.5496969696969687,0.052295684113865926,2.3473463947738473e-07,ADVI-Mean-Field,30.242995500564575
186,0.0077515151515151525,0.565252525252525,0.05377002346699316,2.3473463947738473e-07,ADVI-full-rank,37.70465540885925
187,0.005733333333333333,0.4741414141414136,0.053170084685236194,2.3473463947738473e-07,Hybrid,81.54528403282166
188,0.009743434343434344,0.6262626262626267,0.06373635343332314,2.8275120396263128e-08,NUTS,566.9453375339508
189,0.010890909090909085,0.6717171717171715,0.07052239567391083,2.8275120396263128e-08,ADVI-Mean-Field,28.80666208267212
